new itemcolor "Autunite","ffe651","918648","fff3b7"
new itemcolor "LizardsUncommon","cdb887","9f8fae","d6d6d6"

new itemcolor "LizardsRare","674035","d3754f","8fb4b3"

new itemcolor "LizardsEpic","473c3c","d6d6d6","5d3f42"

new itemcolor "LizardsCommonGem","b80000","eec07b","a3a3a3"

new itemcolor "LizardsUncommonGem","8a857e","9f8fae","b3bdcd"

new itemcolor "LizardsRareGem","18c3ee","cfa595","b3bfbf"

new itemcolor "LizardsEpicGem","c696f8","d6d6d6","6e3e42"

new itemcolor "LizardsShieldACommon","644c43","d20000","bebebe"

new itemcolor "LizardsShieldAUncommon","806446","020aa8","eec07b"

new itemcolor "LizardsShieldARare","bebebe","30cde9","a9714c"

new itemcolor "LizardsShieldAEpic","bebebe","ff7800","775b5b"

new itemcolor "LizardsBowAShieldCCommon","605246","9c9c9c","523a24"

new itemcolor "LizardsBowAShieldCUncommon","6f533e","eec07b","441616"

new itemcolor "LizardsBowAShieldCRare","482d17","c0a997","1e1c1c"

new itemcolor "LizardsBowAShieldCEpic","5f0606","b2cac9","5f0606"

new itemcolor "LizardsStaffACommon","7c715a","a80202","b4b4b4"

new itemcolor "LizardsStaffAUncommon","bebebe","25297f","eec07b"

new itemcolor "LizardsStaffARare","628998","0095a7","8d8d8d"

new itemcolor "LizardsStaffAEpic","6c3f2f","710c9f","dfc773"

new itemcolor "LizardsStaffBCommon","796a57","ae0505","cbc390"

new itemcolor "LizardsStaffBUncommon","305090","1c1a7f","a5ae97"

new itemcolor "LizardsStaffBRare","00c8cf","00898e","d9855b"

new itemcolor "LizardsStaffBEpic","d5b9b2","640d97","232428"

new itemcolor "LizardsUnique01","37452e","fae9c0","a06015"

new itemcolor "LizardsUnique01Gem","0c36bf","fae9c0","a06015"

new itemcolor "LizardsUnique02","5f4e13","4a7a76","796464"

new itemcolor "LizardsUnique02Gem","17e7d1","4a7a76","796464"

new itemcolor "LizardsShieldCCommon","bfbfbf","bfbfbf","664728"

new itemcolor "LizardsShieldCUncommon","d6d6d6","efd0a3","815639"

new itemcolor "LizardsShieldCRare","d6d6d6","ad896f","895e4a"

new itemcolor "LizardsShieldCEpic","d6d6d6","ecce87","553530"

new itemcolor "LizardsStaffAWizard","3e281d","84d9de","d3c097"

new itemcolor "LizardsRogue","70564e","57515e","b4b8ba"

new itemcolor "LizardsKnight","289c04","7d573d","c5bbb6"

new itemcolor "LizardsShadowblade","2d2121","692323","ceb9b0"

new itemcolor "DwarvesCommon","d2a767","9f1616","c3c2c2"

new itemcolor "DwarvesUncommon","5a4e48","1b8135","dadae3"

new itemcolor "DwarvesRare","ac6d4e","f99246","899998"

new itemcolor "DwarvesEpic","c8bb9f","900c0c","6f6661"

new itemcolor "DwarvesRogue","3f3d42","d58c44","c6d2cd"

new itemcolor "DwarvesShadowblade","6e5245","54376f","c9d2da"

new itemcolor "HumansCommon","71562e","7b402d","c9c9c9"

new itemcolor "HumansUncommon","796f54","756f4d","bebebe"

new itemcolor "HumansRare","58493a","6d6653","9497aa"

new itemcolor "HumansEpic","d4a569","684313","f4e9da"

new itemcolor "HumansStaffACommon","891b1b","29231f","96714a"

new itemcolor "HumansStaffAUncommon","20a138","77786e","46442f"

new itemcolor "HumansStaffARare","285bb9","8e7664","4f2f20"

new itemcolor "HumansStaffAEpic","f58f0b","e0d1a4","4c130e"

new itemcolor "HumansStaffBCommon","f9debd","57cee0","dfcec0"

new itemcolor "HumansStaffBUncommon","d39f4c","20a138","d6adad"

new itemcolor "HumansStaffBRare","696670","285bb9","edc8b2"

new itemcolor "HumansStaffBEpic","d4a569","f58f0b","e7eeb7"

new itemcolor "HumansStaffWitch","d09d61","c11414","c7ac97"

new itemcolor "HumansBowCommon","b6b6b6","5c4a36","5e3419"

new itemcolor "HumansBowUncommon","eec07b","5c4a36","705639"

new itemcolor "HumansBowRare","debfa1","4e4133","9e7d59"

new itemcolor "HumansBowEpic","ffe9d4","584742","936641"

new itemcolor "HumansDaggerBCommon","eec07b","5c452b","989898"

new itemcolor "HumansDaggerBUncommon","74706d","886649","eeccaf"

new itemcolor "HumansDaggerBRare","b26f33","483b2f","a2c3c7"

new itemcolor "HumansDaggerBEpic","8e4848","483232","e1e1e1"

new itemcolor "ElvesCommon","937058","5e7b35","009ca2"

new itemcolor "ElvesUncommon","70624c","118570","417b3b"

new itemcolor "ElvesRare","564333","18692d","58558c"

new itemcolor "ElvesEpic","512a1c","456e10","e87505"

new itemcolor "ElvesUnique01","907462","5e7b35","a0a8a8"

new itemcolor "ElvesWizard","564333","18692d","6c98ce"

new itemcolor "ElvesShieldCommon","009ca2","5e7b35","937058"

new itemcolor "ElvesShieldUncommon","00a204","3c6d1e","70624c"

new itemcolor "ElvesShieldRare","4f7ecd","318045","7a5c43"

new itemcolor "ElvesShieldEpic","e87505","456e10","512a1c"

new itemcolor "ElvesStaffBCommon","2e7fdb","674524","90a953"

new itemcolor "ElvesStaffBUncommon","17c528","3f7417","ca6a6a"

new itemcolor "ElvesStaffBRare","d20000","778f2d","6a9cca"

new itemcolor "ElvesStaffBEpic","f5e81d","07a9c1","d87f16"

new itemcolor "ElvesStaffUnique01","009ca2","094746","b67314"

new itemcolor "ElvesStaffUnique02","c0ac05","146d48","262741"

new itemcolor "ElvesFighter","544227","456e10","a36400"

new itemcolor "ElvesShieldFighter","a36400","456e10","544227"

new itemcolor "RedCape","7a695f","972e2e","dbae6b"

new itemcolor "SaheilaRewardSpear","9c7f6d","ded1c0","d61818"

new itemcolor "OriginBeast","402905","72716f","72716f"

new itemcolor "OriginSebille","424242","424242","424242"

new itemcolor "OriginLohse","25262b","32395d","b0a28b"

new itemcolor "OriginRedPrince","c39a70","043418","ac9d80"

new itemcolor "OriginIfan","201a1a","45444f","8a8785"

new itemcolor "OriginIfanPants","201a1a","4a3327","8a8785"

new itemcolor "OriginFane","25262b","54181f","f8e5cf"

new itemcolor "MagisterWhite","ddd4c4","535353","edcc81"

